,file_number,filename,blue,green,red
516,516,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/6a3bfd9a-194e-4f00-b193-02258d20fe47.jpeg,132.73416087549523,151.78646814314476,184.87721634084562
517,517,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/5817b4b7-272b-4b25-9cc6-6323436f6558.jpeg,73.1222489218479,79.43910628749661,101.20393386272856
518,518,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/9d6c96fd-7b37-44f6-9ff2-db08807ba160.jpeg,125.98802740469407,153.56907701352145,189.4476213087324
519,519,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/641ba5d7-15e4-4a3e-b50f-6cf8df5775f1.jpeg,136.8228442527594,145.31182078710665,174.92929092302018
520,520,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/31eade10-ac50-401d-a884-ce8d02e2c49c.jpeg,123.24126337158128,147.64655411674212,184.7201265591918
521,521,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/bbcab7aa-93c7-40f0-bdb3-76b5750eb284.jpeg,134.22357610536693,148.81704881563314,182.92312359380136
522,522,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/48ef7dd4-191c-4737-a6f3-375d00009b7d.jpeg,101.88676122387992,119.68548615740634,153.05760020842433
523,523,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/399d0c99-9720-4c05-8b38-55d4d6670364.jpeg,147.3296259232267,169.9751503812559,205.511600839742
524,524,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/f03c1462-66df-4da8-8e3b-fdd4b18c890e.jpeg,112.71863695557806,121.1522210968022,142.41122847634207
525,525,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/9d104c1c-d083-473b-b4c0-8adb89970c1a.jpeg,127.31823640700831,148.25891256066464,178.52248087521593
526,526,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/0a76316f-4de2-4bd8-91d4-3aa5604b17d5.jpeg,98.76345941237562,117.152969948742,148.10182920700862
527,527,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/755eeed1-62b3-4976-8623-923a0f7b6a4b.jpeg,125.67145856889033,145.21279276368924,180.8931028912938
528,528,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/7db00d79-c881-477a-996f-4b6181472207.jpeg,140.2044424810838,149.53588419192604,182.03976938063522
529,529,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/af8b12fb-d018-4959-9085-c566c54ffdbb.jpeg,131.22259146794642,147.92907650818594,183.69830972756037
530,530,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/ac323ec4-137b-45b8-ae98-1cbe871beb64.jpeg,128.99573620021596,139.2244172012958,169.88757701835738
531,531,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/efcec1fe-5f0e-4d8e-a77a-c6925bd094c6.jpeg,144.0881414320737,165.8249006678502,209.99222250401556
532,532,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/df6565d4-71d7-4e24-ad38-6400e3d6d56a.jpeg,124.23701607933218,137.68594879264944,165.07129250938428
533,533,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/b1b0a3db-63ef-4aaf-ab22-948678d7e86b.jpeg,132.64694326673214,139.62080841487523,168.91314078255357
534,534,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/7d194169-5387-4ea5-a302-3bef5a72ff90.jpeg,139.92431225694943,158.38009505977243,193.20538672043784
535,535,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/ae04a43f-c1d2-4c81-ad3d-021e62c7fd2e.jpeg,142.95391705069125,161.14505510841173,204.62184374269998
536,536,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/d4fd2a21-6dc5-4f3d-8ca6-55fd441c3b4f.jpeg,143.39455221524537,163.18055214508718,192.4660083488266
537,537,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/785e702a-b493-46d7-91b8-74a1d7e6cc49.jpeg,135.25934934147253,155.84371795788923,193.79444563670904
538,538,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/313dc356-c509-4385-8a9d-ca81e056d8dc.jpeg,144.82344701377042,161.4173152739966,188.43637246817212
539,539,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/270bf89e-d3cf-45a2-a61a-278c69439fda.jpeg,145.09848216185546,165.68088162281012,202.02977161500814
540,540,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/e810f2cd-9b23-4988-810b-935128cf5622.jpeg,123.97566382744654,141.05022252596137,168.59095227776575
541,541,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/e7322b74-73cc-4477-b06d-eb3e687c5fda.jpeg,112.52788493555644,136.7023170444486,175.3635396447686
